purchases,balance,credit_limit,payments,tenure,oneoff_purchases,installments_purchases,cash_advance,prc_full_payment,cash_advance_frequency,cash_advance_trx,purchases_trx,minimum_payments,balance_frequency,oneoff_purchases_frequency,purchases_installments_frequency,default
95.4,40.900749,1000.0,201.802084,12,0.0,95.4,0.0,0.0,0.0,0,2,139.509787,0.818182,0.0,0.083333,0
0.0,3202.467416,7000.0,4103.032597,12,0.0,0.0,6442.945483,0.222222,0.25,4,0,1072.340217,0.909091,0.0,0.0,0
773.17,2495.148862,7500.0,622.066742,12,773.17,0.0,0.0,0.0,0.0,0,12,627.284787,1.0,1.0,0.0,1
1499.0,1666.670542,7500.0,0.0,12,1499.0,0.0,205.788017,0.0,0.083333,1,1,0.0,0.636364,0.083333,0.0,0
16.0,817.714335,1200.0,678.334763,12,16.0,0.0,0.0,0.0,0.0,0,1,244.791237,1.0,0.083333,0.0,0
1333.28,1809.828751,1800.0,1400.05777,12,0.0,1333.28,0.0,0.0,0.0,0,8,2407.246035,1.0,0.0,0.583333,1
7091.01,627.260806,13500.0,6354.314328,12,6402.63,688.38,0.0,1.0,0.0,0,64,198.065894,1.0,1.0,1.0,0
436.2,1823.652743,2300.0,679.065082,12,0.0,436.2,0.0,0.0,0.0,0,12,532.03399,1.0,0.0,1.0,0
861.49,1014.926473,7000.0,688.278568,12,661.49,200.0,0.0,0.0,0.0,0,5,311.963409,1.0,0.083333,0.25,0
1281.6,152.225975,11000.0,1164.770591,12,1281.6,0.0,0.0,0.0,0.0,0,3,100.302262,0.545455,0.166667,0.0,0
920.12,1293.124939,1200.0,1083.301007,12,0.0,920.12,0.0,0.0,0.0,0,12,2172.697765,1.0,0.0,1.0,1
1492.18,630.794744,2000.0,705.618627,12,1492.18,0.0,0.0,0.0,0.0,0,6,155.549069,0.818182,0.25,0.0,0
3217.99,1516.92862,3000.0,608.263689,12,2500.23,717.76,0.0,0.25,0.0,0,26,490.207013,1.0,0.25,0.916667,0
2137.93,921.693369,7500.0,1655.891435,12,419.96,1717.97,0.0,0.083333,0.0,0,26,251.137986,1.0,0.166667,0.75,0
0.0,2772.772734,3000.0,805.647974,12,0.0,0.0,346.81139,0.0,0.083333,1,0,989.962866,1.0,0.0,0.0,1
1611.7,6886.213231,8000.0,1993.439277,12,0.0,1611.7,2301.491267,0.0,0.166667,4,11,2109.90649,1.0,0.0,0.5,1
0.0,2072.074354,3000.0,391.974562,8,0.0,0.0,2784.274703,0.0,0.25,3,0,376.579631,0.875,0.0,0.0,0
519.0,41.089489,2500.0,254.590662,12,0.0,519.0,0.0,0.25,0.0,0,8,73.203221,0.454545,0.0,0.333333,0
504.35,1989.072228,13000.0,1720.837373,12,166.0,338.35,0.0,0.0,0.0,0,9,744.613395,1.0,0.083333,0.583333,0
398.64,3577.970933,4000.0,1053.980464,12,0.0,398.64,0.0,0.0,0.0,0,12,12465.54938,1.0,0.0,1.0,1
176.68,2016.684686,2000.0,223.0686,12,0.0,176.68,0.0,0.0,0.0,0,8,13557.29726,1.0,0.0,0.666667,1
6359.95,6369.531318,11250.0,2077.959051,12,5910.04,449.91,229.028245,0.0,0.333333,6,92,1659.775075,1.0,0.916667,1.0,0
815.9,132.34224,1800.0,2359.629958,12,0.0,815.9,0.0,0.0,0.0,0,17,86.329554,0.636364,0.0,1.0,0
4248.35,3800.151377,9000.0,9479.043842,12,3454.56,793.79,7974.415626,0.0,0.333333,13,13,1425.426525,0.818182,0.083333,0.916667,0
0.0,5368.571219,6000.0,1422.726707,11,0.0,0.0,798.949863,0.0,0.363636,4,0,1657.002877,1.0,0.0,0.0,1
399.6,169.781679,3000.0,215.306142,12,0.0,399.6,0.0,0.0,0.0,0,12,163.005536,1.0,0.0,1.0,0
102.0,1615.96724,1700.0,890.178845,12,102.0,0.0,244.840485,0.0,0.25,5,2,971.183209,1.0,0.166667,0.0,1
233.28,125.694817,1000.0,207.773715,12,0.0,233.28,0.0,0.0,0.0,0,12,164.748819,1.0,0.0,1.0,0
387.05,7152.864372,10500.0,1601.448347,12,204.55,182.5,2236.145259,0.0,0.833333,16,8,1648.851345,1.0,0.166667,0.416667,1
100.0,22.06349,6900.0,160.767773,12,0.0,100.0,0.0,0.0,0.0,0,5,159.684442,1.0,0.0,0.416667,0
3038.01,12136.21996,13000.0,4230.323491,12,1013.2,2024.81,3183.583301,0.0,0.5,10,64,3292.01503,1.0,0.166667,1.0,0
1347.71,1162.273324,6000.0,645.998299,12,400.0,947.71,175.815755,0.0,0.166667,2,45,256.848991,1.0,0.083333,1.0,0
324.95,6732.823064,10500.0,1720.118876,12,324.95,0.0,1189.533753,0.0,0.166667,3,3,2506.745366,1.0,0.083333,0.0,1
636.79,125.660453,1200.0,423.449696,12,636.79,0.0,0.0,0.3,0.0,0,11,196.301885,1.0,0.916667,0.0,0
547.28,3517.101616,11000.0,8735.607835,12,0.0,547.28,0.0,0.0,0.0,0,14,17862.55831,0.727273,0.0,1.0,1
0.0,1656.350781,1800.0,351.500199,12,0.0,0.0,99.264367,0.0,0.083333,1,0,634.569311,1.0,0.0,0.0,1
0.0,7427.076941,9000.0,1636.361601,11,0.0,0.0,8873.375046,0.0,0.727273,11,0,1986.843608,1.0,0.0,0.0,1
2380.55,4047.480828,5000.0,1617.894416,12,1642.17,738.38,1697.660901,0.0,0.333333,7,41,1541.141605,1.0,0.5,0.75,0
204.0,6269.418144,9000.0,1237.111661,12,204.0,0.0,2925.699862,0.0,0.333333,12,2,2049.408839,1.0,0.083333,0.0,1
963.24,1411.60223,7500.0,20071.07544,12,963.24,0.0,6173.682877,0.333333,0.333333,6,6,719.948985,0.454545,0.083333,0.0,0
0.0,663.44781,1800.0,3067.05783,12,0.0,0.0,3133.063934,0.166667,0.25,3,0,283.333445,0.727273,0.0,0.0,0
1526.59,784.889762,3000.0,1262.309666,12,786.3,740.29,2188.419607,0.111111,0.25,11,27,363.142736,0.909091,0.416667,0.333333,0
203.82,4104.710798,4500.0,868.275275,12,203.82,0.0,0.0,0.0,0.0,0,1,1801.264841,1.0,0.083333,0.0,1
0.0,1360.742377,1500.0,378.294227,12,0.0,0.0,1481.587093,0.0,0.083333,1,0,321.354137,1.0,0.0,0.0,0
